batch_name,instrument_name,batch_passed,reviewer_name,batch_collected_timestamp,review_start_timestamp,review_complete_timestamp,parameter,codeine,hydrocodone,hydromorphone,morphine,oxycodone,oxymorphone
b802253,doc,TRUE,Xavier,2017-01-06 21:40:27,2017-01-07 13:43:08,2017-01-07 14:09:41,calibration_slope,0.008192144782327297,0.006564274075962965,0.007678291439736596,0.007750183126706949,0.009023840734925672,0.007975051070567122
b252474,sneezy,TRUE,Xavier,2017-01-06 23:38:21,2017-01-07 11:15:34,2017-01-07 11:48:04,calibration_slope,0.006955475075491171,0.007429782917839457,0.006630882106400044,0.007570581039495857,0.00738686361654929,0.007130843582374147
b856639,grumpy,TRUE,Brad,2017-01-06 22:32:40,2017-01-07 09:22:38,2017-01-07 10:05:09,calibration_slope,0.006086943254268865,0.007337636829249369,0.007416386667462318,0.006646796124290342,0.006913555891450587,0.007014455012213706
b678409,bashful,TRUE,Zachary,2017-01-07 01:30:45,2017-01-07 09:08:17,2017-01-07 09:35:10,calibration_slope,0.007195919351368965,0.006743205856069711,0.007383138020781639,0.007361708911453788,0.007043721280804576,0.0070706076609267044
b829912,sneezy,TRUE,Xavier,2017-01-06 22:19:39,2017-01-07 12:09:14,2017-01-07 12:29:25,calibration_slope,0.006943973192191198,0.007250930554936903,0.0064323487153402905,0.007742682135427897,0.006861189097820314,0.007395390449900985
b567436,doc,TRUE,Yolanda,2017-01-06 23:05:10,2017-01-07 09:54:01,2017-01-07 10:15:20,calibration_slope,0.007865828092794252,0.008074185255479096,0.007126257033345121,0.008397599370610279,0.008103228129172382,0.008124973759445523
b567885,sneezy,TRUE,Zachary,2017-01-06 21:52:17,2017-01-07 13:27:17,2017-01-07 13:42:23,calibration_slope,0.007551291905513307,0.006159729285953188,0.006618512340267358,0.007180689255694714,0.007078355103327218,0.007109665574033795
b220333,happy,TRUE,Zachary,2017-01-07 01:52:29,2017-01-07 10:44:15,2017-01-07 11:23:58,calibration_slope,0.006148211975739778,0.006518307575042173,0.006760076461087273,0.006079716439196878,0.007200249743311096,0.0071100010401134875
b629177,happy,TRUE,Zachary,2017-01-06 23:54:23,2017-01-07 09:18:54,2017-01-07 09:44:51,calibration_slope,0.0071365157518211925,0.007226679244769142,0.006753373410564715,0.007496200206853081,0.006798543337517777,0.005996513936447192
b731080,bashful,TRUE,Zachary,2017-01-06 20:08:09,2017-01-07 12:08:16,2017-01-07 12:25:43,calibration_slope,0.007353273358944362,0.007635722173287736,0.006779931302724918,0.006427476096533023,0.007478996006770373,0.007211307293763453
b128412,grumpy,TRUE,Alice,2017-01-06 22:33:21,2017-01-07 10:24:57,2017-01-07 11:09:53,calibration_slope,0.00760526717405188,0.007183041229080908,0.006776077287669815,0.007597978224285089,0.00701708313132909,0.007248930883669955
b788203,dopey,TRUE,Xavier,2017-01-06 21:46:27,2017-01-07 09:29:05,2017-01-07 09:45:18,calibration_slope,0.00633218508339017,0.007434786626918505,0.007202961490275806,0.006776358955694989,0.007701497186769079,0.006831087036238443
b159580,doc,TRUE,Charles,2017-01-06 23:36:01,2017-01-07 10:01:01,2017-01-07 10:34:37,calibration_slope,0.007596995410321598,0.00806243848967245,0.009625637283445017,0.007648437907668693,0.008145416437401487,0.008301874959434146
b739780,dopey,TRUE,Alice,2017-01-06 22:39:24,2017-01-07 13:57:27,2017-01-07 14:35:31,calibration_slope,0.006467749589733239,0.006251750544572082,0.007159690108916623,0.006820772465181261,0.0070641100980876,0.007798117222563004
b170708,sneezy,TRUE,Zachary,2017-01-06 23:55:13,2017-01-07 10:47:41,2017-01-07 11:10:16,calibration_slope,0.00679478572770037,0.007064940462339959,0.007049446229410195,0.006219894496382606,0.007337774283182329,0.00638178792781981
b638794,happy,TRUE,Xavier,2017-01-06 21:49:52,2017-01-07 12:58:27,2017-01-07 13:36:48,calibration_slope,0.0068651536168842005,0.006950626650502359,0.006638518459534287,0.007488220003045762,0.007155551187562557,0.006782522946876201
b100302,sleepy,TRUE,Alice,2017-01-06 20:14:07,2017-01-07 12:08:37,2017-01-07 12:46:32,calibration_slope,0.007616779006570046,0.0071596729945551316,0.006516165725306678,0.006387835176549198,0.006728711819537756,0.007074440678726672
b226807,bashful,TRUE,Alice,2017-01-07 01:25:10,2017-01-07 13:43:55,2017-01-07 14:12:17,calibration_slope,0.006630487855053502,0.006644379880212884,0.006536469329354811,0.007096861236637747,0.0074846048069170555,0.00714514677203865
b608671,dopey,TRUE,Xavier,2017-01-06 22:29:46,2017-01-07 13:22:17,2017-01-07 13:47:58,calibration_slope,0.00696159880389852,0.007096408035274886,0.006799318707861442,0.007005245990300772,0.007231522769171092,0.0062805313894366615
b261150,dopey,TRUE,Charles,2017-01-06 21:44:56,2017-01-07 09:40:41,2017-01-07 10:09:29,calibration_slope,0.006413199640275481,0.007224719196231596,0.0060969949916913,0.006615765392626353,0.006434653109687454,0.006924054690566321
b469201,sleepy,TRUE,Yolanda,2017-01-07 23:18:10,2017-01-08 09:20:39,2017-01-08 10:01:07,calibration_slope,0.0065530377803900124,0.0067501741123047855,0.006910081441109304,0.007148350206998851,0.006830663882287258,0.006180548999862955
b417377,happy,TRUE,Alice,2017-01-08 00:22:13,2017-01-08 11:51:38,2017-01-08 12:14:01,calibration_slope,0.006647658372618253,0.007446008624194911,0.006761912170732129,0.006572931590499826,0.007167129342156973,0.006924558058319792
b173735,happy,TRUE,Zachary,2017-01-07 22:30:24,2017-01-08 10:50:21,2017-01-08 11:07:52,calibration_slope,0.006880627775805795,0.007329443434726845,0.006584087721696409,0.006552861886397174,0.007616226957802774,0.006790069256374328
b332332,doc,TRUE,Charles,2017-01-07 20:57:13,2017-01-08 13:54:11,2017-01-08 14:38:32,calibration_slope,0.007466568201836506,0.00848192525082714,0.007551787055637711,0.00932604320929368,0.0075700305050837545,0.008070232961796419
