"order_id","ordering_route","pref_list_type"
19766,"OP Orders Navigator","Clinic Preference List"
88444,"OP Orders Navigator","Clinic Preference List"
40477,"OP Orders Navigator","Provider Preference List"
97641,"OP Orders Navigator","Provider Preference List"
99868,"OP Orders Navigator","Provider Preference List"
31178,"OP Orders Navigator","Provider Preference List"
87245,"OP Orders Navigator","Provider Preference List"
50160,"OP Orders Navigator","Provider Preference List"
99743,"OP Orders Navigator","Provider Preference List"
93938,"OP Orders Navigator","Provider Preference List"
87463,"OP Orders Navigator","Provider Preference List"
78615,"OP Orders Navigator","Provider Preference List"
64333,"OP Orders Navigator","Provider Preference List"
61621,"OP Orders Navigator","Provider Preference List"
89484,"OP Orders Navigator","Provider Preference List"
56574,"OP Orders Navigator","Provider Preference List"
89091,"OP Orders Navigator","Provider Preference List"
52409,"OP Orders Navigator","Provider Preference List"
23366,"OP Orders Navigator","Provider Preference List"
26516,"OP Orders Navigator","Clinic Preference List"
47649,"OP Orders Navigator","Clinic Preference List"
10968,"OP Orders Navigator","Clinic Preference List"
55526,"OP Orders Navigator","Clinic Preference List"
58870,"OP Orders Navigator","Clinic Preference List"
45209,"OP Orders Navigator","Clinic Preference List"
34373,"OP Orders Navigator","Clinic Preference List"
44060,"OP Orders Navigator","Clinic Preference List"
23368,"OP Orders Navigator","Clinic Preference List"
95109,"OP Orders Navigator","Clinic Preference List"
94706,"OP Orders Navigator","Clinic Preference List"
77845,"OP Orders Navigator","Clinic Preference List"
28457,"OP Orders Navigator","Clinic Preference List"
35886,"OP Orders Navigator","Clinic Preference List"
95066,"OP Orders Navigator","Clinic Preference List"
74462,"OP Orders Navigator","Clinic Preference List"
59030,"OP Orders Navigator","Clinic Preference List"
71129,"OP Orders Navigator","Clinic Preference List"
88692,"OP Orders Navigator","Clinic Preference List"
79887,"OP Orders Navigator","None"
50728,"OP Orders Navigator","Clinic Preference List"
91635,"OP Orders Navigator","Clinic Preference List"
42783,"SmartSet","None"
11884,"SmartSet","None"
98932,"SmartSet","None"
83642,"SmartSet","None"
57139,"OP Orders Navigator","Provider Preference List"
59487,"OP Orders Navigator","Provider Preference List"
85059,"OP Orders Navigator","Provider Preference List"
63708,"OP Orders Navigator","Provider Preference List"
43928,"OP Orders Navigator","Provider Preference List"
74315,"OP Orders Navigator","Provider Preference List"
31121,"OP Orders Navigator","Provider Preference List"
45849,"OP Orders Navigator","Provider Preference List"
69809,"OP Orders Navigator","Clinic Preference List"
42878,"OP Orders Navigator","Clinic Preference List"
53060,"OP Orders Navigator","Provider Preference List"
